,no,0:pixels,1:point-x,2:point-y,3:0x,4:x1,5:y0,6:y1,7:width,8:height,9:inv-oblate,10:S-length,11:L-length1,12:oblate,13:round,14:ellipsity,15:filling-ratio,16:outer-pixels,17:thickness,18:slenderness,19:wrap-count,20:outer-area,21:deg0,22:deg1,23:average,24:min-v,25:max-v,26:contrast1,27:ex-average,28:contrast2,29:contrast3,30:angle-angle,31:angle-centerX,32:angle-centerY,33:angle-radius,34:bestfit-maxdist,35:bestfit-mindist,36:bestfit-meandist,37:bestfit-rmsedist,38:line-angle,39:line-arc-angle,40:line-arc-centerX,41:line-arc-centerY,42:line-arc-radius,43:line-chord-length,44:line-endX,45:line-endY,46:line-endXY,47:line-length,48:line-positionX,49:line-positionXY,50:line-positionY,51:line-startX,52:line-startXY,53:line-startY,54:object-class,55:object-classname,56:object-parent,57:point-intensity,58:point-locationX,59:point-locationXY,60:point-locationY,61:region-area,62:axis-major,63:axis-minor,64:region-centerX,65:region-centerXY,66:region-centerY,67:region-direction,68:region-intensity,69:region-area-percent,70:region-perimeter
0,1,77,282,4,276,289,1,9,14,9,15555,9,14,6428,5002,7781,6111,72,26,14,15,10,79,90,211,205,224,19,202,9,3,90.26950027144798,282,4,244.88445491296815,14,9,11.5,11.224972160321824,31.6075022462489,31.6075022462489,282,4,2.5517548665903327,0,289,9,149.0,15.264337522473747,282.5,143.75,5.0,276,138.5,1,1,1,1,211,282.5,143.75,5.0,77,90,79,282,143.0,4,90,1,1,1
1,2,65,322,3,316,328,1,7,13,7,18571,7,13,5384,4897,9095,7142,64,25,13,16,10,90,90,223,215,243,28,205,18,10,178.56790381583548,322,3,123.16874967458085,13,7,10.0,9.539392014169456,26.56505117707799,26.56505117707799,322,3,2.2559429785441227,0,328,7,167.5,13.416407864998739,322.0,163.0,4.0,316,158.5,1,1,1,1,223,322.0,163.0,4.0,65,90,90,322,162.5,3,90,1,1,1
2,3,65,1021,3,1013,1027,1,9,15,9,20000,8,16,5000,3233,6466,4814,66,24,14,13,9,101,11,220,215,238,23,211,9,4,175.60129464500443,1021,3,118.67306746840087,16,8,12.0,11.313708498984761,29.74488129694222,29.74488129694222,1021,3,2.7885821042456485,0,1027,9,518.0,16.1245154965971,1020.0,512.5,5.0,1013,507.0,1,1,1,1,220,1020.0,512.5,5.0,65,11,101,1021,512.0,3,11,1,1,1
3,4,37,1034,2,1027,1041,1,4,15,4,37500,4,15,2666,2094,8412,6166,46,21,11,12,8,90,90,226,215,252,37,213,13,2,175.60129464500443,1034,2,23.006400801734216,15,4,9.5,7.745966692414834,12.094757077012101,12.094757077012101,1034,2,2.391862950190999,0,1041,4,522.5,14.317821063276353,1034.0,518.25,2.5,1027,514.0,1,1,1,1,226,1034.0,518.25,2.5,37,90,90,1034,518.0,2,90,1,1,1
4,5,45,1159,2,1154,1167,1,5,14,5,28000,5,14,3571,2923,8815,6428,40,27,7,10,11,79,90,213,205,227,22,203,10,2,179.4093427853536,1159,2,37.000859083703695,14,5,9.5,8.366600265340756,17.102728969052375,17.102728969052375,1159,2,2.2738372098183857,0,1167,5,586.0,13.601470508735444,1160.5,581.75,3.0,1154,577.5,1,1,1,1,213,1160.5,581.75,3.0,45,90,79,1159,580.5,2,90,1,1,1
5,6,53,1256,3,1251,1261,1,7,11,7,15714,7,11,6363,5577,8764,6883,50,26,10,13,10,90,90,220,205,236,31,201,19,4,179.4093427853536,1256,3,18.834192417037034,11,7,9.0,8.774964387392123,30.96375653207352,30.96375653207352,1256,3,1.9647148407612256,0,1261,7,634.0,11.661903789690601,1256.0,630.0,4.0,1251,626.0,1,1,1,1,220,1256.0,630.0,4.0,53,90,90,1256,629.5,3,90,1,1,1
6,7,36,1272,3,1268,1276,1,7,9,7,12857,7,9,7777,5659,8185,5714,38,23,8,11,9,79,90,223,215,238,23,211,12,4,179.26547896574556,1272,3,15.667734998837595,9,7,8.0,7.937253933193772,36.86989764584402,36.86989764584402,1272,3,1.6881650340819931,0,1276,7,641.5,10.0,1272.0,638.0,4.0,1268,634.5,1,1,1,1,223,1272.0,638.0,4.0,36,90,79,1272,637.5,3,90,1,1,1
7,8,43,1350,2,1345,1356,1,6,12,6,20000,6,12,5000,3802,8295,5972,38,27,7,10,11,68,90,223,215,241,26,211,12,4,178.99898888968653,1350,2,48.834789260307254,12,6,9.0,8.48528137423857,24.443954780416536,24.443954780416536,1350,2,2.05168701075346,0,1356,6,681.0,12.083045973594572,1350.5,677.0,3.5,1345,673.0,1,1,1,1,223,1350.5,677.0,3.5,43,90,68,1350,676.0,2,90,1,1,1
8,9,77,1565,3,1558,1573,1,9,16,9,17777,9,16,5625,3830,6808,5347,70,27,13,14,11,68,90,203,195,222,27,193,10,2,179.53729226804825,1565,3,84.50067298209407,16,9,12.5,12.0,28.072486935852957,28.072486935852957,1565,3,2.880018314880086,0,1573,9,791.0,17.0,1565.5,785.25,5.0,1558,779.5,1,1,1,1,203,1565.5,785.25,5.0,77,90,68,1565,784.0,3,90,1,1,1
9,10,35,1857,2,1851,1862,1,5,12,5,24000,5,12,4166,3095,8102,5833,34,25,7,10,10,90,90,212,205,233,28,205,7,0,0.19621765589164844,1857,2,348.6669520539578,12,5,8.5,7.745966692414834,19.98310652189998,19.98310652189998,1857,2,1.9856190708572534,0,1862,5,933.5,11.704699910719626,1856.5,929.75,3.0,1851,926.0,1,1,1,1,212,1856.5,929.75,3.0,35,90,90,1857,929.5,2,90,1,1,1
